name,position,team,points_2024,points_2025,rank
Jamaar Chase,WR,CIN,339.5,290.9,1
Saquon Barkley,RB,PHI,338.8,308,2
Bijan Robinson,RB,ATL,311.2,302.1,3
Jahmyr Gibbs,RB,DET,336.9,298.4,4
Justin Jefferson,WR,MIN,266,278,5
Puka Nacua,WR,LAR,167.1,271.3,6
CeeDee Lamb,WR,DAL,212.9,256.5,7
Nico Collins,WR ,HOU,176.6,250.8,8
Brian Thomas Jr.,WR,JAX,240.5,250.6,9
Amon-Ra St. Brown,WR,DET,258.7,242.3,10
Malik Nabers,WR,NYG,219.1,233.5,11
Devon Achane,RB,MIA,260.9,284.6,12
Derrick Henry,RB,BAL,326.9,298.9,13
Christian McCaffrey,RB,SF,40.3,280.1,14
Ashton Jeanty,RB,R,0,272.7,15
Brock Bowers,TE,LV,206.7,210.2,16
Drake London,WR,ATL,230.8,229.9,17
Ladd McConkey,WR,LAC,199.9,224.9,18
A.J. Brown,WR,PHI,183.4,212.2,19
Jonathan Taylor,RB,IND,235.7,250.5,20
Josh Jacobs,RB,GB,275.1,248.3,21
Bucky Irving,RB,TB,220.9,240.6,22
Chase Brown,RB,CIN,228,235,23
Tee Higgins,WR,CIN,185.6,208.9,24
Breece Hall,RB,NYJ,212.4,224.9,25
Terry McLaurin,WR,WAS,226.8,222.4,26
Tyreek Hill,WR,MIA,177.7,201,27
Lamar Jackson,QB,BAL,434.4,410,28
Josh Allen,QB,BUF,385,388,29
Mike Evans,WR,TB,203.4,209.6,30
Jaxon Smith Njibga,WR,SEA,203,200.1,31
Garret Wilson,WR,NYJ,201.4,198.5,32
Trey McBride,TE,ARI,194.3,193.9,33
James Cook,RB,BUF,250.7,212.4,33
Joe Mixon,RB,HOU,222.5,210.6,34
Kyren Williams,RB,LAR,255.1,215.9,35
Chuba Hubbard,RB,CAR,220.1,210.2,36
DJ Moore,WR,CHI,189.1,190.5,37
Marvin Harrison Jr.,WR,ARI,165.5,178.5,38
Jayden Daniels,QB,WAS,364.8,371.2,39
Xavier Worthy,WR,KC,157.7,170.8,40
Devonta Smith,WR ,KC,165.4,174.9,41
George Kittle,TE,SF,197.6,189.9,42
Zay Flowers,WR,BAL,172.5,177.3,43
Jalen Hurts,QB,PHI,320.1,355.4,44
Jameson Williams,WR,DET,183.2,174.3,45
Rashee Rice,WR,KC,52.9,145.5,46
Joe Burrow,QB,CIN,381.8,355.1,47
Rome Odunze,WR,CHI,117.9,167.8,48
Tetairoa McMillan,WR,R,0,162.9,49
DK Metcalf,WR,SEA,158.2,166.3,50
Chris Olave,WR,NO,60.7,164.2,51
Davante Adams,WR,NYJ,198.8,165.2,52
Jordan Addison,WR,MIN,181,165.1,53
Alvin Kamara,RB,NO,231.3,198.8,54
Jaylen Waddle,WR,MIA,120.6,163.3,55
Courtland Sutton,WR,DEN,199.8,184.2,56
Omarion Hampton,RB,R,0,188.9,57
Kenneth Walker,RB,SEA,158.2,181.2,58
George Pickens,WR,PIT,134.9,158.2,59
Jerry Jeudy,WR,CLE,195.9,162.3,60
David Montgomery,RB,DET,203.7,180.1,61
Sam Laporta,TE,DET,144.6,169.8,62
Kaleb Johnson,RB,R,0,177.3,63
Chris Godwin,WR,TB,112.8,160.8,64
James Conner,RB,ARI,230.3,188.9,65
Tyrone Tracy,RB ,NYG,163.3,177.6,66
Luther Burden III,WR,R,0,155.9,67
Jayden Reed,WR,GB,169.5,150.5,68
Deebo Samuel,WR,SF,128.1,160.6,69
Calvin Ridley,WR,TEN,167.2,165.5,70